Provinsi;2020 (SD);2021 (SD);2022 (SD);2020 (SMP);2021 (SMP);2022 (SMP);2020 (SMA);2021 (SMA);2022 (SMA)
ACEH;98.33;99.44;99.45;90.92;93.43;97.63;70.07;74.36;70.67
SUMATERA UTARA;96.48;98.57;98.74;91.63;91.35;92.84;70.39;72.81;77.16
SUMATERA BARAT;93.26;95.29;97.87;87.12;89.49;88.83;67.11;70.06;65.96
RIAU;95.18;96.91;98.20;86.84;87.11;88.53;66.62;68.94;66.91
JAMBI;95.34;98.54;97.62;86.31;89.00;86.57;63.66;64.51;65.85
SUMATERA SELATAN;95.93;97.82;97.53;85.02;87.68;88.41;65.42;67.20;67.07
BENGKULU;95.16;98.16;97.65;87.68;89.94;90.81;62.73;62.46;64.88
LAMPUNG;97.69;98.33;98.41;86.66;89.46;90.99;57.59;60.09;62.42
KEP. BANGKA BELITUNG;96.05;96.61;96.45;81.91;80.99;84.72;56.74;63.98;66.87
KEP. RIAU;95.25;98.16;98.38;94.80;92.71;95.72;78.65;81.07;73.93
DKI JAKARTA;97.80;99.26;98.58;94.57;95.00;95.40;85.67;84.98;87.71
JAWA BARAT;97.76;98.45;99.08;88.17;88.18;89.29;63.56;64.89;67.05
JAWA TENGAH;97.20;98.06;98.01;89.00;88.44;90.02;55.82;59.90;58.75
DI YOGYAKARTA;96.43;98.48;98.91;92.36;94.94;97.06;87.99;90.12;87.92
JAWA TIMUR;96.81;97.76;98.71;89.98;90.30;90.47;63.53;66.33;66.87
BANTEN;96.03;98.82;97.24;86.70;90.63;92.65;64.24;66.90;66.02
BALI;96.66;97.02;97.55;93.21;94.26;94.15;74.88;75.86;76.59
NUSA TENGGARA BARAT;97.29;98.71;98.47;89.91;92.19;95.39;64.66;65.71;61.00
NUSA TENGGARA TIMUR;86.92;91.84;92.35;78.81;78.83;83.25;50.65;44.88;38.47
KALIMANTAN BARAT;91.79;94.29;95.13;80.88;79.65;81.82;55.23;54.27;58.40
KALIMANTAN TENGAH;95.45;97.45;98.51;84.83;89.76;87.79;60.77;61.04;61.88
KALIMANTAN SELATAN;94.10;95.67;94.68;82.48;84.06;87.95;63.05;63.59;67.81
KALIMANTAN TIMUR;95.84;96.82;99.18;92.40;95.34;95.32;71.63;74.26;74.00
KALIMANTAN UTARA;96.38;95.77;96.94;87.14;90.14;90.55;67.77;62.30;54.80
SULAWESI UTARA;95.58;96.10;96.74;86.69;91.05;91.98;73.79;68.56;66.66
SULAWESI TENGAH;95.05;96.19;97.19;82.79;85.42;88.90;57.68;61.16;53.73
SULAWESI SELATAN;96.13;97.30;98.05;85.08;88.18;90.55;66.22;69.43;68.32
SULAWESI TENGGARA;95.28;95.58;97.24;89.18;90.88;91.19;68.28;70.65;65.97
GORONTALO;91.90;93.44;95.12;80.10;81.22;80.56;55.35;53.73;45.12
SULAWESI BARAT;94.70;95.93;97.15;83.08;86.09;84.14;56.60;56.22;55.18
MALUKU;97.47;98.50;98.98;88.04;93.08;93.65;70.55;68.12;72.08
MALUKU UTARA;95.59;96.97;97.72;87.41;92.93;94.92;66.52;66.95;67.10
PAPUA BARAT;89.25;91.81;93.94;83.47;85.18;87.03;61.49;59.08;57.07
PAPUA;78.40;78.43;81.99;65.75;66.06;66.16;30.92;32.95;39.01
INDONESIA;96.00;97.37;97.82;87.89;88.88;90.13;63.95;65.94;66.13
